iter	Logloss
0	0.3983777243
1	0.3593391029
2	0.3527452796
3	0.3490848304
4	0.3485473068
5	0.3483103888
6	0.3471257202
7	0.3470330053
8	0.3465800946
9	0.3465348777
10	0.3459654391
11	0.3457953909
12	0.3457835545
13	0.3457718288
14	0.3457465936
15	0.3455967956
16	0.3455906965
17	0.3451836383
18	0.3451182575
19	0.3451138912
20	0.3450960503
21	0.3450563254
22	0.3450483108
23	0.3450407058
24	0.3450361529
25	0.3449772886
26	0.3449421396
27	0.3447897446
28	0.3447596579
29	0.3446887563
30	0.3446682086
31	0.3445701451
32	0.3444990306
33	0.3442059285
34	0.3442021742
35	0.3441972571
36	0.3441851975
37	0.3441796959
38	0.3441069417
39	0.3440994805
40	0.3440550041
41	0.3440106722
42	0.3439074203
43	0.34388238
44	0.3437898746
45	0.3437258199
46	0.3437044714
47	0.3436987983
48	0.3436844497
49	0.3436815203
50	0.3436743022
51	0.3436717399
52	0.3436661252
53	0.3436564413
54	0.3436531479
55	0.3436455695
56	0.3436437468
57	0.3436210994
58	0.3436033366
59	0.3435997042
60	0.3435893868
61	0.3435848583
62	0.3435836646
63	0.3435836328
64	0.3435797223
65	0.3435784871
66	0.3435735451
67	0.343563099
68	0.3435446563
69	0.3435428489
70	0.3435408693
71	0.343536611
72	0.3434886454
73	0.3434802091
74	0.3434792781
75	0.3434783524
76	0.3434758997
77	0.3434750197
78	0.3434726878
79	0.3434700904
80	0.3434666296
81	0.3434637461
82	0.3434595775
83	0.343457776
84	0.3434548933
85	0.3434397417
86	0.3434174735
87	0.3434017974
88	0.3433778639
89	0.3433756048
90	0.3433584151
91	0.343350834
92	0.3433501656
93	0.3433470036
94	0.3433360656
95	0.3433172043
96	0.3433145974
97	0.343311084
98	0.3433076229
99	0.3433055062
