iter	Passed	Remaining
0	1284	127137
1	2159	105802
2	2760	89251
3	3512	84301
4	4062	77193
5	4622	72425
6	5202	69113
7	5743	66050
8	6293	63637
9	6841	61574
10	7434	60151
11	8010	58740
12	8551	57228
13	9101	55907
14	9655	54712
15	10185	53474
16	10707	52278
17	11256	51280
18	11820	50393
19	12352	49411
20	12880	48453
21	13434	47630
22	13936	46655
23	14499	45916
24	15024	45072
25	15574	44327
26	16088	43497
27	16627	42757
28	17167	42031
29	17731	41374
30	18298	40729
31	18893	40149
32	19433	39455
33	20000	38824
34	20513	38095
35	21045	37413
36	21657	36875
37	22230	36271
38	22791	35647
39	23353	35030
40	23915	34414
41	24495	33827
42	25084	33251
43	25633	32624
44	26222	32050
45	26805	31467
46	27395	30892
47	27929	30256
48	28459	29621
49	29015	29015
50	29554	28395
51	30115	27798
52	30678	27205
53	31257	26626
54	31801	26019
55	32400	25457
56	32960	24864
57	33541	24288
58	34083	23685
59	34675	23116
60	35291	22563
61	35850	21972
62	36431	21396
63	36972	20797
64	37520	20203
65	38051	19602
66	38606	19014
67	39174	18435
68	39741	17854
69	40324	17281
70	40858	16688
71	41425	16109
72	42026	15543
73	42602	14968
74	43151	14383
75	43714	13804
76	44270	13223
77	44817	12640
78	45371	12060
79	45950	11487
80	46513	10910
81	47071	10332
82	47629	9755
83	48200	9181
84	48772	8606
85	49335	8031
86	49915	7458
87	50479	6883
88	51064	6311
89	51625	5736
90	52183	5160
91	52744	4586
92	53314	4012
93	53900	3440
94	54543	2870
95	55161	2298
96	55822	1726
97	56410	1151
98	57006	575
99	57589	0
